"text","text.1","favorite_count","retweet_count","lat","lng","search_term"
"x147829137","@DaTruthYaDig I honestly have no idea at this point dude lol. High no I quit smokin just trying to keep up with your babble. What I remember is you saying Allen is 3rd at worse by every metric a qb is measured by. Which is wrong and I proved was wrong. Aside from TDs he’s outside everyone else",0,0,,,"no idea what he's saying"
"x44674615","@brooklynnets85 We’re speculating on him saying he isn’t retiring, but that can mean just in this scenario. He’s not retiring just because of the vaccine mandate, but he’s still a Net which is what he wants. We have no idea how his stance would change if he were to actually be traded.",0,0,,,"no idea what he's saying"
"x19599956","Okay I've read that thread six times and I still have no idea what Kyrie's saying he's going to do here.",2,0,,,"no idea what he's saying"
"x2352278821","Ok, it is funny seeing a Latin trad driving outside his lane invoking the East and then other Latin trads saying he’s wrong even though they have no idea what they’re talking about.",3,0,43.043594,-85.6014885,"no idea what he's saying"
"x2974791869","@HawkeyeBeliever @HuskersMN @SchutteCFB Well your coach has no idea what he’s saying if he actually believes that. This goes through it all, the injury conspiracy theory makes no sense. https://t.co/bi4PVonyVK",0,0,,,"no idea what he's saying"
"x19699804","@ebcott @ScottyHockey Yup. The top has no idea what they're doing and it's beginning to show already, puck hasn't dropped on the season yet.

Kid deserved to be in the lineup after what he showed last year. I don't blame him for seeing who they let on the roster instead &amp; saying """"fuck this, I'm out.""""",1,0,,,"no idea what he's saying"
"x1133768849902333952","@lseeburr See, completely in touch with the American people - on top of every problem - but won’t take questions because he has no idea what he’s saying. Have to study every prob for months and come up with a winner solution. 
It’s as bad as the Afghanistan surrender!!",1,0,,,"no idea what he's saying"
"x1434303030682394627","this guy is on the phone in the bank and i have no idea what he’s talking about or to who but he keeps saying “let’s go, let’s go, let’s go dude, let’s gooooo”",0,0,,,"no idea what he's saying"
"x197446947","I have no idea what he is saying with eggs, bacon and sausage, but it's funny.  Typical Tyler, goal and an expletive (bleeped out)
See this Instagram video by @railersjhc https://t.co/H01HaVGqNQ",0,0,,,"no idea what he's saying"
"x15795400","@jasmineryan I’m really bad when I’m working. I realize a few sentences into Rob speaking that I have no idea what he’s saying. Sorry Rob!!! I need a moment to stop what I’m doing and refocus my attention.",2,0,,,"no idea what he's saying"
"x912332133212893184","@GavPat89 @pintonious i think it's more ignorance, i really think this guy has no idea what he is saying. And i so desperately want to educate him. Which is why did the CE5 live last night, to help educate.",0,0,,,"no idea what he's saying"
"x1358877704385400837","@JasonMiyaresVA So what @JasonMiyaresVA is saying is that he actually has no idea what the AG is responsible for or is doing yet he wants to take shots at @MarkHerringVA from the sidelines. 

Jason, you want the AG job? Better get “familiar” with what’s happening! https://t.co/hrtjZfLa7a",2,0,,,"no idea what he's saying"
"x1422339382778998788","@ch1kitabanana @leisa1979 I’ll also add that he is an outdoors person and he could just be enjoying the outdoors alone and enjoying the nature. What if he comes back to the house shocked saying “What’s all this about, I was just enjoying Mother Nature and had no idea I was a person of interest “",1,0,,,"no idea what he's saying"
"x413312333","@poremcontudo no idea, he's doing a thread where he's basically saying """"my past has always been out in the open, i made some choices, it is what it is"""" so i just have to assume there's some self righteous discourse flying around about him",1,0,,,"no idea what he's saying"
"x713741089","I love Bruce Springsteen. I have no idea what he’s saying in any of his songs. But the vibes, honey, oh those vibes.",1,0,,,"no idea what he's saying"
"x1306425477188509696","@SaraInStereo @meow2008 @Nerdy_Addict Hmmm you know what’s interesting is I never said he was. But there’s only two reasons that the gun still isn’t accounted for (for the record I’m not saying it is) but there are indications to say he did own a gun and we have no idea of that gun is in possession of law enforcement",0,0,,,"no idea what he's saying"
"x739844197935644672",".@PressSec hurt @tedcruz’ delicate feelings by calling him out on having no idea what he’s talking about. So Ted is doubling down on his lies and saying “Ok, Jen. I just heard I was right from a ‘very credible and senior’ source!” Sure you did, Ted. https://t.co/X2ythLrI42",71,34,,,"no idea what he's saying"
"x24888726","@LockedOnOrioles I guess I don't get it.  He's saying it was a bad trade.  And it was.  There's no way the Orioles would make that trade again, knowing what they know now.  Doesn't mean it was a bad idea.  It does mean it was a bad trade.  And it was.",0,0,,,"no idea what he's saying"
"x727920767220908032","@pat_everett75 @1momofcb @Dangerouslytal @UrbanInuk You are correct. Are you from the area? I am and even though what you're saying is true, it's hard for me to think she had no idea. She doesn't even need to relate; she just needs to be aware.",0,0,,,"no idea what she's saying"
"x15938448","Watch 연나비님 (nnabi) with me on Twitch! https://t.co/RpguBW4jSj
Absolutely no idea what she's saying but damn... 👏🔥👏",0,0,,,"no idea what she's saying"
"x22067793","Henry has been saying """"awah"""" a LOT. He will say """"what is that? Awah"""" and we had no idea what it meant. I just told him to say Stella and he went """"awah"""" 🥺🥺🥺 he's asking for his sister or asking where she is going when she gets picked up.",3,0,,,"no idea what she's saying"
"x1087358578829123585","Slowly falling in love with @LaurenceRenne captions have no idea what she's saying but I appreciate her immensely anyway
(P.S. whoever invents bilingual captioning will get a special shoutout from the Speaker's chair, just saying)",5,0,,,"no idea what she's saying"
"x4799702183","@BenBRockN @Jesus_my_amor What she’s saying is that we have no idea what he looks like so to create art or statues to be an image of him is idolatry and it is.",2,0,,,"no idea what she's saying"
"x1413755035","slowly recruiting my fb friends. I always hear people saying they don't wanna Gish bc they have """"no idea"""" what it entails, and frankly it's hard to explain, lol (we need business cards, hint hint).
Halloweird is perfect, great thinking @GISH. FYI she is excited for the big hunt! https://t.co/2bU2qxNuZ3",2,1,,,"no idea what she's saying"
"x1431793506","@mkefrizz @brooketorious It’ll be interesting when she can yell at you in French and you have no idea what she’s saying! 😆",1,0,,,"no idea what she's saying"
"x1126625768740728832","@donal_higgins It's Deeeee's FB page. And no one ever has any idea what she's saying. But we can read through the lines. Yo don't have ''noose'' in predictive text unless you have used it before we would think.",5,0,,,"no idea what she's saying"
"x895369541265575936","@66Sia_ @Z___ha66 I have no idea what’s she’s saying, but sounds beautiful and touching, love this kind of chanting🖤👍🏻",1,0,,,"no idea what she's saying"
"x707047955920986113","@3rbunn1nja @goinggodward What I gather from what they are saying, and it was a lot, be up front with your partner right away.  When it’s early on dating and they ask if you watch porn don’t lie. Because if she expects you to say no and you do watch it that’s the bigger issue. The shared values idea.",1,0,,,"no idea what she's saying"
"x13456052","All of a sudden everyone has started saying things like """"my Aquarius sun and Leo moon"""" or """"it's Cancer season"""" or """"she's such a Pisces"""" and like....I have NO IDEA what any of this means.  I feel like I was out sick the day this stuff got taught and now I'm failing the test. 😭😂",0,0,,,"no idea what she's saying"
"x503515911","My cat is especially talkative today, and while I have no idea what she’s saying, I do agree with her wholeheartedly, and in fact I would testify in support of her claims under oath in a court of law",34,4,,,"no idea what she's saying"
"x919764687037886464","i don’t even wanna say what she does in this movie because if you had no idea what this movie was about or didn’t see any trailers like myself it’s a real treat. a french body horror movie that will have you saying “what the fuck” but in the best way possible",1,0,,,"no idea what she's saying"
"x798564017858117632","no idea what she's saying but girl I am about to do on this day i insi...",0,0,,,"no idea what she's saying"
"x798564017858117632","no idea what she's saying androids are because they are other player pets, your pet doesnt have the outline/filter",0,0,,,"no idea what she's saying"
"x33365464","That damn Willow song is stuck in my head and I have no idea why bc I barely know what she’s saying 😭",0,0,,,"no idea what she's saying"
"x1283696995702538241","@he_is_animation @blumod_ I have no idea what she's saying but it's hilarious.",2,0,,,"no idea what she's saying"
"x959569473656311813","The Finnish prime minister is so adorable and I have no idea what she’s saying. *hits translate button",2,0,,,"no idea what she's saying"
"x159207564","@DebraDiGiovanni LOVE JURGEN. And Giuseppe. And Lizzie! No idea what she’s saying but it’s the best.",3,0,,,"no idea what she's saying"
"x778728627517009920","@JackPosobiec Liar, liar. I hate that she gets away with this. She has no idea what's she's even saying. Gas prices were low bc of Covid and people at home?!!! So how do they explain the prices before Covid?!!! The idea that they'll fix this by next year is a fairy tale. Esp with their agenda!",0,0,,,"no idea what she's saying"
"x4645071504","@CenTexAg I searched gifs for “perspective” and this popped up. I have no idea what she’s saying but I’m using it anyway. https://t.co/1bYDUZ9PKk",2,0,,,"no idea what she's saying"
"x3033735315","@kansasauthor @eclipsethis2003 @USATRUMPMAN1 That man Joe has no idea what he saying, reading everything he’s wife should know better but selfish wanting to be know 4 the glory of the life she has, I heard an sitting at his desk. 
Is this called LOVE ❤️? 
NO! I call it SELFISH!!!",1,0,,,"no idea what she's saying"
"x1225855511607861248","@VladPlane @XCapTrader @GC_ApeStrategy @cvpayne @shortdestroyer @pwnwtfbbq This is exactly what’s going on. And if they were to get someone extremely articulate they would cut the time short and not allow it to get into to much detail. (Not saying the other person wasn’t smart) I have no idea who she is nor do I need to for sake of argument",1,0,,,"no idea what she's saying"
"x1224880645958176776","@AntarianRani @SenWhitehouse @B52Malmet @MSNBC @yasminv Probably misunderstood my Tweet. It happens. I meant Dems can’t get any messaging across to the millions

Plus, the irony of a news host on @MSNBC saying she had no idea how people would ever find out what’s in the bill— I mean isn’t INFORMING part of her job? Maybe SHE could?",0,0,,,"no idea what she's saying"
"x1281823685322522624","You know what the MOST obscene point here is? That the media is shaking it's collective head and saying, """"Uhhh we have no IDEA what she's up to."""" Oh really. Her support of this bill would HARM every one of her beloved owner donors. But MSM is flummoxed?
https://t.co/P931NfdcnH",3,2,,,"no idea what she's saying"
"x154774769","@Onthefritzie I've gotten more texts and I have no idea what she's saying",1,0,,,"no idea what she's saying"
"x2881644879","@DrChronology @iamchanteezy @FixSheltersNow She trying to defend Bob dumbass admitted she has no idea what's going on but its wildly inappropriate for me to say it's racist. When I said she was wrong she said are you impaired so I lit her ass up so she went crying to Chantay saying one of your followers bit my head off",3,1,,,"no idea what she's saying"
"x1328198239716249607","@CIAspygirl @tothebonetyrone Imagine the nerve Kayleigh had trying to find fault with JP! KM was the absolute worst press secretary in history and had no idea what she was even saying. Not only did she lie to the U.S. she didn’t even know the definition of the words she was using!",4,0,,,"no idea what she's saying"
"x1165632910105464832","@krylorens @darthevenstar I was wondering that too because she’s like saying no I have no idea what’s going on in the context of the scene cause after that she’s smiling and laughing I have no clue #TLD",3,0,,,"no idea what she's saying"
"x45685841","@Stacie4Truth @ForestMommy I have absolutely no idea what she’s saying, but I like the way she says it.",2,0,,,"no idea what she's saying"
"x1269842479735615488","@kidnextdior @mainmani03 @kaybadu @Davinaaiko I used her logic and she thought it was mine and called me dumb. Don’t listen to her, she got no idea what she’s saying ☠️",0,0,,,"no idea what she's saying"
"x1247318144","@TheLeoTerrell Do we have to keep listening to her. She has no idea what she’s saying. She says want they want her to say.",0,0,40.3253065,-76.4062935,"no idea what she's saying"
"x22408563","Only thing I have to say about that Chloe performance is that I couldn't understand what she was saying half the time. In part, the music was slightly louder than her mic and, she does that sexy-choppy-sing thing where she's cutting off her words. I had no idea what she was sayin",0,0,,,"no idea what she's saying"
"x45406038","I LOVE WHEN PEOPLE PUT THEIR TWO CENTS WORTH IN REPLIES AND LITERALLY HAVE NO IDEA WHAT IS BEING SAID.

SHE'S SAYING ITS A RED FLAG WHEN THATS SAID. IT'S A TRIGGER.

NEVER DOUBT YOUR DRUM MAJOR. #GOBLAZERS https://t.co/tNrhIoc6oz",16,0,33.6665503,-86.816812,"no idea what she's saying"
"x2507990588","@jkimballcook I had literally no idea this was an issue. If the preferred nomenclature for the denominatiom is now the long version of CJCLDS, does that have implications for what members should be called? Is saying like “the Mormon vote” or “she’s a Mormon” a hot button for a some people?",8,0,,,"no idea what she's saying"
"x1385136908","@CasuallyGreg I have no idea what she’s saying but I would bet a dollar or last name is Biden…",0,0,,,"no idea what she's saying"
"x47767226","@CabooseEK I got weird Fast &amp; Furious vibes from the cargo scene. 

Also; I just tweeted on it. All I can hear in my mind is Parker rather than Drake from Holland's American accent.",0,0,,,"weird accent"
"x1094890596613980161","@meganlynne99 I read somewhere that he wasn't happy with this special, because he often stumbled around, it was pretty weird. 

I just found it boring because it was just like Theo on the podcast, random name drops, Mexican accent-a-lot and just... (IMHO) not really funny",1,0,,,"weird accent"
"x1313927424694984704","@reospositivepov Lol,I’m easy,some films are daft though Robin and Marion(they all try and speak with a Scots accent,daft and I’m a Scot🤣)and Alexander(Irish accents) plain bloody weird",1,0,,,"weird accent"
"x1140840431850311685","Is it weird that my inner monologue puts on a British accent whenever I write?",0,0,,,"weird accent"
"x1284137291800211456","@BrunzRegal Her accent is weird",2,0,,,"weird accent"
"x14616267","So where is this Timithe dude from? I thought he was French? If so he's doing a really weird American accent...",0,0,,,"weird accent"
"x1355917827052457987","@ShoalBear @RonFilipkowski I think the whole thing was in some kind of weird accent…

Rudy IS a weird accent!! lol https://t.co/RZsbwA2grG",0,0,,,"weird accent"
"x755704002","@Acyn Tucker's got a weird accent. Somehow it sounds like the word """"they"""" when what he's clearly saying is """"I""""...",2,0,,,"weird accent"
"x21421032","@SkyNews French storm? Pretty sure it's an Atlantic storm, so it probably speaks in a weird 1960s TV accent.",1,0,,,"weird accent"
"x3399065271","@whereufromm To be fair everything sounds funnier with that weird little accent of his",6,0,,,"weird accent"
"x29578550","As an AZ girl, my cousins were all in the midwest, and they used to LAUGH at my """"cowboy"""" accent. 

Now, whenever I voice-to-text, I get some really weird stuff but I think the most common is anytime I say """"Okay, so..."""" my phone thinks I'm saying """"hey, Siri"""" https://t.co/sTJaEXw5kl",5,1,,,"weird accent"
"x33149630","I'm not a good singer..

I'm just good at mimicking people who are, down to the accent. I do it with speech too. 

I mean.. Left to my own devices I'll hum to match the vacuum cleaner resonance in my skull 🤷‍♂️🤣..

I'm weird lol",1,0,,,"weird accent"
"x1351264632305016832","@sha210 @Shannaluscious Haha, yeah Jersey is a strong accent for sure.  Nothing wrong with that!  I have a weird hybrid one now, from living in the south for quite a while but coming from the midwest. 😆",1,0,,,"weird accent"
"x915332808486391808","@PeterKGeoghegan @JoRichardsKent Be proud of your accent! Weird thing, I have an estuary/Home Counties English accent, and all the time when talking to other accents, I become acutely aware that it is an accent that lacks warmth, and sounds condescending and insincere. 1",0,0,,,"weird accent"
"x1327451288","@hereinid Lol piqued my curiosity 

The archival recordings for 1970-1981 are here, btw https://t.co/xKNS0IyaUx

They all sound totally different from the modern Southern California accent. Weird!",0,0,,,"weird accent"
"x1365724500248178689","@LucyTributePage @Stephan07105588 @PrimeVideo @DebraMessing A whole 10 days. Not sure who’s gonna pay to see this when you can see it for free 10 days later and have the option to turn it off when Kidman’s weird hybrid Russian accent annoys you",0,0,,,"weird accent"
"x1365724500248178689","@vpasternak @heisolis @PrimeVideo Yes!!!!  That’s exactly what I just commented!  What is with this weird accent???",1,0,,,"weird accent"
"x254282009","Weird hearing @ParisHilton without the fake accent.",0,0,42.8962295,-78.853563,"weird accent"
"x176783626","They have an accent and it's weird #YoungAndPregnant",0,0,,,"weird accent"
"x969225014527643648","It's hella weird if you have a different accent while answering the phone, compared to the one you have when talking to friends",0,0,,,"weird accent"
